run_id,week,signal_tf,entry_time,dir,entry_price,initial_sl,exit_time,exit_price,exit_comment,pnl,balance_after,risk_dollars,r_multiple,hold_minutes,final_sl_price,sl_moved,exit_kind,mode
cmpE1is_swing_2026-08-10__M15sig,2026-08-10,M15sig,2026-08-11 05:00:00,BUY,4408.968,4399.131,2026-08-11 05:17:05,4399.131,sl 4399.131,-9.84,521.64,9.836999999999534,-1.0003049710277998,17.083333333333332,4399.131,False,sl,swing_confirm_E1
cmpE1is_swing_2026-08-10__M15sig,2026-08-10,M15sig,2026-08-12 10:50:00,BUY,4409.54,4403.875,2026-08-12 12:05:04,4407.338,sl 4407.397,-2.2,519.44,5.664999999999964,-0.3883495145631093,75.06666666666666,4407.397,True,sl,swing_confirm_E1
cmpE1is_swing_2026-08-10__M15sig,2026-08-10,M15sig,2026-08-13 04:30:00,BUY,4398.221,4387.782,2026-08-13 05:32:12,4395.919,sl 4395.920,-2.3,517.14,10.438999999999396,-0.2203276175879042,62.2,4395.92,True,sl,swing_confirm_E1
cmpE1is_swing_2026-08-10__M15sig,2026-08-10,M15sig,2026-08-14 18:05:00,BUY,4381.324,4372.654,2026-08-14 18:45:27,4372.587,sl 4372.654,-8.73,508.41,8.669999999999163,-1.0069204152250106,40.45,4372.654,False,sl,swing_confirm_E1
cmpE1is_swing_2026-08-17__M15sig,2026-08-17,M15sig,2026-08-19 07:35:00,SELL,4359.218,4364.099,2026-08-19 08:44:08,4363.319,sl 4363.277,-4.1,495.9,4.881000000000313,-0.8399918049579465,69.13333333333334,4363.277,True,sl,swing_confirm_E1
cmpE1is_swing_2026-08-17__M15sig,2026-08-17,M15sig,2026-08-20 05:15:00,BUY,4485.713,4481.04,2026-08-20 05:34:06,4481.014,sl 4481.040,-4.7,491.2,4.6729999999997744,-1.0057778728868452,19.1,4481.04,False,sl,swing_confirm_E1
cmpE1is_swing_2026-08-17__M15sig,2026-08-17,M15sig,2026-08-21 12:35:00,BUY,4578.257,4572.199,2026-08-21 12:35:39,4571.686,sl 4572.199,-6.57,484.63,6.057999999999993,-1.084516342027073,0.65,4572.199,False,sl,swing_confirm_E1
cmpE1is_swing_2026-08-17__M15sig,2026-08-17,M15sig,2026-08-21 13:05:00,BUY,4581.475,4571.623,2026-08-21 14:37:59,4585.629,sl 4585.639,4.15,488.78,9.852000000000771,0.4212342671538444,92.98333333333332,4585.639,True,sl,swing_confirm_E1
cmpE1is_swing_2026-08-24__M15sig,2026-08-24,M15sig,2026-08-24 00:30:00,BUY,4605.197,4590.057,2026-08-24 01:21:17,4614.743,sl 4614.923,9.54,509.54,15.140000000000327,0.6301188903566574,51.28333333333333,4614.923,True,sl,swing_confirm_E1
cmpE1is_swing_2026-08-24__M15sig,2026-08-24,M15sig,2026-08-24 07:55:00,BUY,4636.425,4624.75,2026-08-24 08:29:45,4629.831,sl 4629.875,-6.6,502.94,11.675000000000182,-0.5653104925053445,34.75,4629.875,True,sl,swing_confirm_E1
