run_id,week,signal_tf,entry_time,dir,entry_price,initial_sl,exit_time,exit_price,exit_comment,pnl,balance_after,risk_dollars,r_multiple,hold_minutes,final_sl_price,sl_moved,exit_kind
wk_2026-08-10__M15sig,2026-08-10 (Mon-Fri),M15sig,2026-08-10 09:30:00,BUY,4347.294,4340.312,2026-08-10 09:36:21,4340.261,sl 4340.312,-7.03,116.63,6.981999999999971,-1.0068748209682081,6.35,4340.312,False,sl
wk_2026-08-10__M15sig,2026-08-10 (Mon-Fri),M15sig,2026-08-10 10:00:00,BUY,4341.23,4334.53,2026-08-10 11:04:55,4334.391,sl 4334.530,-6.84,109.79,6.699999999999818,-1.0208955223880873,64.91666666666667,4334.53,False,sl
wk_2026-08-10__M15sig,2026-08-10 (Mon-Fri),M15sig,2026-08-10 11:30:00,BUY,4334.777,4329.039,2026-08-10 12:16:05,4330.426,sl 4330.596,-4.35,105.44,5.738000000000284,-0.7581038689438453,46.083333333333336,4330.596,True,sl
wk_2026-08-10__M15sig,2026-08-10 (Mon-Fri),M15sig,2026-08-10 13:30:00,BUY,4335.139,4328.464,2026-08-10 13:46:00,4329.452,sl 4329.523,-5.69,99.75,6.675000000000182,-0.8524344569288158,16.0,4329.523,True,sl
wk_2026-08-10__M15sig,2026-08-10 (Mon-Fri),M15sig,2026-08-10 14:00:00,BUY,4318.337,4310.369,2026-08-10 14:26:04,4343.73,,25.39,125.14,7.968000000000757,3.1864959839354405,26.066666666666666,,False,other
wk_2026-08-10__M15sig,2026-08-10 (Mon-Fri),M15sig,2026-08-10 15:15:00,BUY,4347.129,4337.256,2026-08-10 16:32:01,4349.823,sl 4349.865,2.69,127.83,9.872999999999593,0.27246024511294553,77.01666666666667,4349.865,True,sl
wk_2026-08-10__M15sig,2026-08-10 (Mon-Fri),M15sig,2026-08-10 17:15:00,BUY,4357.104,4347.56,2026-08-10 18:31:25,4377.669,,20.57,148.4,9.543999999999869,2.1552808046940783,76.41666666666667,,False,other
wk_2026-08-10__M15sig,2026-08-10 (Mon-Fri),M15sig,2026-08-10 18:45:00,BUY,4379.8,4372.314,2026-08-10 22:51:37,4399.089,,19.29,167.69,7.485999999999876,2.5768100454181564,246.61666666666667,,False,other
wk_2026-08-10__M15sig,2026-08-10 (Mon-Fri),M15sig,2026-08-10 23:30:00,BUY,4395.575,4390.239,2026-08-11 00:23:44,4411.134,,15.55,182.71,5.33600000000024,2.914167916041848,53.733333333333334,,False,other
wk_2026-08-10__M15sig,2026-08-10 (Mon-Fri),M15sig,2026-08-11 01:15:00,BUY,4414.664,4407.294,2026-08-11 02:09:57,4421.752,sl 4421.793,7.09,189.8,7.369999999999891,0.962008141112633,54.95,4421.793,True,sl
wk_2026-08-10__M15sig,2026-08-10 (Mon-Fri),M15sig,2026-08-11 02:15:00,BUY,4433.964,4424.103,2026-08-11 02:33:23,4424.057,sl 4424.103,-9.9,179.9,9.860999999999876,-1.0039549741405662,18.383333333333333,4424.103,False,sl
wk_2026-08-10__M15sig,2026-08-10 (Mon-Fri),M15sig,2026-08-11 03:15:00,BUY,4413.475,4401.955,2026-08-11 04:55:24,4404.685,sl 4404.723,-8.79,171.11,11.520000000000437,-0.7630208333333044,100.4,4404.723,True,sl
wk_2026-08-10__M15sig,2026-08-10 (Mon-Fri),M15sig,2026-08-11 05:00:00,BUY,4408.968,4399.309,2026-08-11 05:12:12,4399.203,sl 4399.309,-9.77,161.34,9.65899999999965,-1.0114918728647224,12.2,4399.309,False,sl
wk_2026-08-10__M15sig,2026-08-10 (Mon-Fri),M15sig,2026-08-11 05:15:00,BUY,4402.458,4392.646,2026-08-11 05:26:02,4392.598,sl 4392.646,-9.86,151.48,9.811999999999898,-1.00489196901754,11.033333333333333,4392.646,False,sl
wk_2026-08-10__M15sig,2026-08-10 (Mon-Fri),M15sig,2026-08-11 05:30:00,BUY,4392.718,4383.499,2026-08-11 05:30:04,4383.466,sl 4383.499,-9.25,142.23,9.219000000000051,-1.003362620674688,0.06666666666666667,4383.499,False,sl
wk_2026-08-10__M15sig,2026-08-10 (Mon-Fri),M15sig,2026-08-11 05:45:00,BUY,4377.092,4367.338,2026-08-11 05:56:03,4367.301,sl 4367.338,-9.79,132.44,9.753999999999905,-1.0036907935206165,11.05,4367.338,False,sl
wk_2026-08-10__M15sig,2026-08-10 (Mon-Fri),M15sig,2026-08-11 06:00:00,BUY,4375.442,4365.563,2026-08-11 06:28:29,4367.107,sl 4367.143,-8.33,124.11,9.878999999999905,-0.843202753315121,28.483333333333334,4367.143,True,sl
wk_2026-08-10__M15sig,2026-08-10 (Mon-Fri),M15sig,2026-08-11 06:30:00,BUY,4363.764,4354.008,2026-08-11 11:01:06,4383.682,,19.92,144.03,9.756000000000313,2.0418204182041166,271.1,,False,other
wk_2026-08-10__M15sig,2026-08-10 (Mon-Fri),M15sig,2026-08-11 11:15:00,BUY,4391.407,4384.465,2026-08-11 11:38:20,4384.246,sl 4384.465,-7.16,136.87,6.942000000000007,-1.031403053874963,23.333333333333332,4384.465,False,sl
wk_2026-08-10__M15sig,2026-08-10 (Mon-Fri),M15sig,2026-08-11 12:00:00,BUY,4387.815,4381.446,2026-08-11 12:23:56,4388.815,sl 4389.123,1.0,137.87,6.368999999999687,0.15701051970482793,23.933333333333334,4389.123,True,sl
wk_2026-08-10__M15sig,2026-08-10 (Mon-Fri),M15sig,2026-08-11 12:45:00,BUY,4398.612,4391.146,2026-08-11 13:15:14,4391.092,sl 4391.146,-7.52,130.35,7.466000000000349,-1.0072327886417958,30.233333333333334,4391.146,False,sl
wk_2026-08-10__M15sig,2026-08-10 (Mon-Fri),M15sig,2026-08-11 13:30:00,BUY,4398.043,4389.577,2026-08-11 13:35:37,4389.531,sl 4389.577,-8.51,121.84,8.46599999999944,-1.0051972596268088,5.616666666666666,4389.577,False,sl
wk_2026-08-10__M15sig,2026-08-10 (Mon-Fri),M15sig,2026-08-11 15:15:00,BUY,4392.315,4381.746,2026-08-11 15:34:26,4381.67,sl 4381.746,-10.65,111.19,10.568999999999505,-1.0076639227931212,19.433333333333334,4381.746,False,sl
wk_2026-08-10__M15sig,2026-08-10 (Mon-Fri),M15sig,2026-08-11 15:45:00,BUY,4375.957,4364.715,2026-08-11 17:57:05,4370.444,sl 4370.468,-5.52,105.67,11.24200000000019,-0.4910158334815786,132.08333333333334,4370.468,True,sl
wk_2026-08-10__M15sig,2026-08-10 (Mon-Fri),M15sig,2026-08-11 18:15:00,BUY,4363.763,4355.721,2026-08-11 22:56:59,4369.433,sl 4369.446,5.67,111.34,8.042000000000371,0.7050484953991218,281.98333333333335,4369.446,True,sl
wk_2026-08-10__M15sig,2026-08-10 (Mon-Fri),M15sig,2026-08-11 23:15:00,BUY,4366.841,4361.063,2026-08-12 01:05:52,4385.706,,18.87,129.68,5.778000000000247,3.2658359293871917,110.86666666666666,,False,other
wk_2026-08-10__M15sig,2026-08-10 (Mon-Fri),M15sig,2026-08-12 01:30:00,BUY,4390.678,4383.345,2026-08-12 02:53:27,4414.344,,23.66,153.34,7.332999999999629,3.226510295922705,83.45,,False,other
wk_2026-08-10__M15sig,2026-08-10 (Mon-Fri),M15sig,2026-08-12 03:00:00,BUY,4411.448,4403.569,2026-08-12 03:37:33,4403.973,sl 4404.085,-7.48,145.86,7.878999999999905,-0.9493590557177422,37.55,4404.085,True,sl
wk_2026-08-10__M15sig,2026-08-10 (Mon-Fri),M15sig,2026-08-12 03:45:00,BUY,4401.787,4394.037,2026-08-12 05:22:33,4394.496,sl 4394.677,-7.29,138.57,7.75,-0.9406451612903226,97.55,4394.677,True,sl
wk_2026-08-10__M15sig,2026-08-10 (Mon-Fri),M15sig,2026-08-12 06:00:00,BUY,4391.292,4384.361,2026-08-12 09:10:30,4411.268,,19.98,158.55,6.931000000000495,2.8827009089595403,190.5,,False,other
wk_2026-08-10__M15sig,2026-08-10 (Mon-Fri),M15sig,2026-08-12 09:30:00,BUY,4413.464,4406.51,2026-08-12 10:48:59,4410.582,sl 4411.028,-2.88,155.67,6.9539999999997235,-0.4141501294219319,78.98333333333333,4411.028,True,sl
wk_2026-08-10__M15sig,2026-08-10 (Mon-Fri),M15sig,2026-08-12 11:30:01,BUY,4415.193,4408.604,2026-08-12 12:04:04,4408.422,sl 4408.604,-6.77,148.9,6.588999999999942,-1.0274700258005858,34.05,4408.604,False,sl
wk_2026-08-10__M15sig,2026-08-10 (Mon-Fri),M15sig,2026-08-12 12:15:00,BUY,4409.009,4402.102,2026-08-12 12:30:05,4419.621,sl 4420.062,10.61,159.51,6.907000000000153,1.53612277399736,15.083333333333334,4420.062,True,sl
wk_2026-08-10__M15sig,2026-08-10 (Mon-Fri),M15sig,2026-08-12 12:45:00,BUY,4428.602,4417.196,2026-08-12 12:47:28,4416.567,sl 4417.196,-12.03,147.48,11.405999999999949,-1.054708048395586,2.466666666666667,4417.196,False,sl
wk_2026-08-10__M15sig,2026-08-10 (Mon-Fri),M15sig,2026-08-12 13:00:00,BUY,4437.437,4425.331,2026-08-12 13:12:54,4425.189,sl 4425.331,-12.25,135.23,12.105999999999767,-1.0118949281348286,12.9,4425.331,False,sl
wk_2026-08-10__M15sig,2026-08-10 (Mon-Fri),M15sig,2026-08-12 13:15:00,BUY,4422.323,4409.111,2026-08-12 13:40:06,4408.958,sl 4409.111,-13.36,121.87,13.212000000000444,-1.0112019376324213,25.1,4409.111,False,sl
wk_2026-08-10__M15sig,2026-08-10 (Mon-Fri),M15sig,2026-08-12 14:15:00,BUY,4431.969,4416.029,2026-08-12 15:04:16,4415.879,sl 4416.029,-16.09,105.78,15.9399999999996,-1.0094102885822085,49.266666666666666,4416.029,False,sl
wk_2026-08-10__M15sig,2026-08-10 (Mon-Fri),M15sig,2026-08-12 16:30:00,BUY,4423.195,4410.066,2026-08-12 16:44:11,4410.016,sl 4410.066,-13.18,92.6,13.128999999999905,-1.0038845304288289,14.183333333333334,4410.066,False,sl
wk_2026-08-10__M15sig,2026-08-10 (Mon-Fri),M15sig,2026-08-12 17:00:00,BUY,4401.664,4388.922,2026-08-12 22:05:03,4404.605,sl 4404.628,2.95,95.55,12.74200000000019,0.23151781509966696,305.05,4404.628,True,sl
