run_id,week,signal_tf,entry_time,dir,entry_price,initial_sl,exit_time,exit_price,exit_comment,pnl,balance_after,volume,n_exits,swap_comm,risk_dollars,r_multiple,hold_minutes,final_sl_price,sl_moved,exit_kind,mode
cmpr2B2_swing_2026-08-31__M15sig,2026-08-31,M15sig,2026-09-04 01:30:00,BUY,4471.181,4465.298,2026-09-04 01:47:34,4466.846,sl 4466.858,-34.68,4932.07,0.08,1,0.0,47.06399999999849,-0.7368689444161379,17.566666666666666,4466.858,True,sl,B2
cmpr2B2_swing_2026-09-07__M15sig,2026-09-07,M15sig,2026-09-07 08:05:00,SELL,4412.508,4420.515,2026-09-07 08:16:28,4420.518,sl 4420.515,-48.06,4951.94,0.06,1,0.0,48.0420000000031,-1.000374672161794,11.466666666666669,4420.515,False,sl,B2
cmpr2B2_swing_2026-09-07__M15sig,2026-09-07,M15sig,2026-09-07 09:05:00,SELL,4412.402,4417.294,2026-09-07 12:10:35,4392.47,sl 4392.449,221.68,5173.62,0.1,2,0.0,48.919999999998254,4.531479967293702,185.58333333333331,4392.449,True,sl,B2
cmpr2B2_swing_2026-09-07__M15sig,2026-09-07,M15sig,2026-09-08 05:35:00,BUY,4423.345,4414.099,2026-09-08 05:56:14,4417.323,sl 4417.361,-30.11,5143.51,0.05,1,0.0,46.23000000000047,-0.6513086740211916,21.23333333333333,4417.361,True,sl,B2
cmpr2B2_swing_2026-09-07__M15sig,2026-09-07,M15sig,2026-09-09 06:05:00,SELL,4402.992,4407.649,2026-09-09 06:37:27,4405.418,sl 4405.317,-26.69,5116.82,0.11,1,0.0,51.22700000000168,-0.5210143088605448,32.45,4405.317,True,sl,B2
cmpr2B2_swing_2026-09-07__M15sig,2026-09-07,M15sig,2026-09-09 15:10:00,BUY,4391.439,4376.106,2026-09-09 15:22:54,4375.88,sl 4376.106,-46.68,5070.14,0.03,1,0.0,45.999000000001615,-1.014804669666696,12.9,4376.106,False,sl,B2
cmpr2X1a_swing_2026-06-22__M15sig,2026-06-22,M15sig,2026-06-22 14:40:00,BUY,4191.502,4182.927,2026-06-22 15:19:29,4190.554,sl 4190.576,-4.74,4995.26,0.05,1,0.0,42.87500000000364,-0.1105539358600489,39.48333333333333,4190.576,True,sl,X1a_breakeven
cmpr2X1a_swing_2026-06-22__M15sig,2026-06-22,M15sig,2026-06-23 13:50:00,SELL,4130.978,4138.926,2026-06-23 13:53:23,4138.941,sl 4138.926,-47.78,4947.48,0.06,1,0.0,47.68800000000192,-1.001929206508935,3.3833333333333333,4138.926,False,sl,X1a_breakeven
cmpr2X1a_swing_2026-06-22__M15sig,2026-06-22,M15sig,2026-06-24 20:20:00,SELL,3993.112,4010.341,2026-06-24 23:33:42,4005.364,sl 4005.210,-24.51,4922.97,0.02,1,0.0,34.45799999999963,-0.711300713912597,193.7,4005.21,True,sl,X1a_breakeven
cmpr2X1a_swing_2026-06-22__M15sig,2026-06-22,M15sig,2026-06-25 08:25:00,SELL,3997.076,4007.012,2026-06-25 11:43:15,3986.052,sl 3985.939,44.09,4967.06,0.04,1,0.0,39.7440000000006,1.1093498389693877,198.25,3985.939,True,sl,X1a_breakeven
cmpr2X1a_swing_2026-06-22__M15sig,2026-06-22,M15sig,2026-06-26 07:05:00,SELL,4029.262,4038.544,2026-06-26 07:28:09,4038.765,sl 4038.544,-47.52,4919.54,0.05,1,0.0,46.40999999999849,-1.0239172592114103,23.15,4038.544,False,sl,X1a_breakeven
cmpr2X1a_swing_2026-06-29__M15sig,2026-06-29,M15sig,2026-06-29 17:10:00,SELL,4030.622,4035.842,2026-06-29 19:26:12,4014.758,sl 4014.752,142.78,5142.78,0.09,1,0.0,46.98000000000229,3.039165602383845,136.2,4014.752,True,sl,X1a_breakeven
cmpr2X1a_swing_2026-06-29__M15sig,2026-06-29,M15sig,2026-06-30 13:05:00,BUY,4016.445,4004.428,2026-06-30 13:24:37,4021.44,sl 4021.493,19.98,5162.76,0.04,1,0.0,48.06800000000112,0.4156611467088195,19.616666666666667,4021.493,True,sl,X1a_breakeven
cmpr2X1a_swing_2026-06-29__M15sig,2026-06-29,M15sig,2026-07-01 08:20:00,SELL,3982.508,3986.428,2026-07-01 09:49:30,3985.181,sl 3985.141,-34.75,5128.01,0.13,1,0.0,50.96000000000095,-0.6819073783359371,89.5,3985.141,True,sl,X1a_breakeven
cmpr2X1a_swing_2026-06-29__M15sig,2026-06-29,M15sig,2026-07-02 11:15:00,BUY,4063.441,4054.069,2026-07-02 12:14:12,4063.002,sl 4063.039,-2.2,5125.81,0.05,1,0.0,46.85999999999922,-0.0469483568075125,59.2,4063.039,True,sl,X1a_breakeven
cmpr2X1a_swing_2026-06-29__M15sig,2026-06-29,M15sig,2026-07-03 13:20:00,BUY,4169.842,4161.652,2026-07-03 14:00:31,4162.817,sl 4162.898,-42.15,5083.66,0.06,1,0.0,49.1399999999976,-0.8577533577533997,40.516666666666666,4162.898,True,sl,X1a_breakeven
cmpr2X1a_swing_2026-07-06__M15sig,2026-07-06,M15sig,2026-07-06 02:40:00,BUY,4173.658,4164.594,2026-07-06 03:20:12,4164.543,sl 4164.594,-45.57,4954.43,0.05,1,0.0,45.32000000000153,-1.0055163283318285,40.2,4164.594,False,sl,X1a_breakeven
cmpr2X1a_swing_2026-07-06__M15sig,2026-07-06,M15sig,2026-07-06 15:35:00,SELL,4149.824,4155.463,2026-07-06 16:54:09,4155.558,sl 4155.463,-45.87,4908.56,0.08,1,0.0,45.11200000000099,-1.0168026245788038,79.15,4155.463,False,sl,X1a_breakeven
cmpr2X1a_swing_2026-07-06__M15sig,2026-07-06,M15sig,2026-07-08 18:55:00,SELL,4085.456,4097.148,2026-07-09 00:00:49,4080.581,sl 4080.489,19.5,4928.06,0.04,1,0.0,46.76800000000003,0.4169517618884705,305.81666666666666,4080.489,True,sl,X1a_breakeven
cmpr2X1a_swing_2026-07-06__M15sig,2026-07-06,M15sig,2026-07-09 06:00:00,SELL,4081.94,4087.765,2026-07-09 06:00:13,4087.98,sl 4087.765,-48.32,4879.74,0.08,1,0.0,46.59999999999855,-1.0369098712446676,0.2166666666666666,4087.765,False,sl,X1a_breakeven
cmpr2X1a_swing_2026-07-06__M15sig,2026-07-06,M15sig,2026-07-10 00:30:00,BUY,4119.706,4114.899,2026-07-10 00:33:46,4114.897,sl 4114.899,-48.09,4831.65,0.1,1,0.0,48.06999999999789,-1.0004160599126717,3.7666666666666666,4114.899,False,sl,X1a_breakeven
cmpr2X1a_swing_2026-07-06__M15sig,2026-07-06,M15sig,2026-07-10 12:20:00,SELL,4109.208,4119.973,2026-07-10 13:39:56,4097.463,sl 4097.414,50.16,4881.81,0.04,2,0.0,43.06000000000131,1.1648862052949018,79.93333333333334,4097.414,True,sl,X1a_breakeven
cmpr2X1a_swing_2026-07-13__M15sig,2026-07-13,M15sig,2026-07-13 08:35:00,SELL,4072.513,4084.679,2026-07-13 10:51:18,4056.631,sl 4056.406,63.53,5063.53,0.04,1,0.0,48.66400000000067,1.305482492191335,136.3,4056.406,True,sl,X1a_breakeven
cmpr2X1a_swing_2026-07-13__M15sig,2026-07-13,M15sig,2026-07-15 04:25:00,SELL,4033.118,4036.683,2026-07-15 04:46:50,4032.916,sl 4032.878,18.94,5082.47,0.14,2,0.0,49.91000000000077,0.3794830695251394,21.83333333333333,4032.878,True,sl,X1a_breakeven
cmpr2X1a_swing_2026-07-13__M15sig,2026-07-13,M15sig,2026-07-15 11:55:00,SELL,4036.204,4043.272,2026-07-15 12:30:01,4043.521,sl 4043.272,-51.22,5031.25,0.07,1,0.0,49.4759999999983,-1.0352494138572592,35.016666666666666,4043.272,False,sl,X1a_breakeven
cmpr2X1a_swing_2026-07-13__M15sig,2026-07-13,M15sig,2026-07-16 09:05:00,SELL,4035.513,4039.571,2026-07-16 11:33:50,4028.912,sl 4028.892,97.73,5128.98,0.12,2,0.0,48.69599999999991,2.006941021849848,148.83333333333334,4028.892,True,sl,X1a_breakeven
cmpr2X1a_swing_2026-07-13__M15sig,2026-07-13,M15sig,2026-07-17 07:10:00,SELL,3995.105,4011.001,2026-07-17 09:23:57,4000.902,sl 4000.596,-17.39,5111.59,0.03,1,0.0,47.68800000000056,-0.3646619694682058,133.95,4000.596,True,sl,X1a_breakeven
cmpr2X1a_swing_2026-07-20__M15sig,2026-07-20,M15sig,2026-07-20 12:10:00,BUY,4016.445,4009.342,2026-07-20 12:21:37,4009.239,sl 4009.342,-50.45,4949.55,0.07,1,0.0,49.72100000000047,-1.0146618129160625,11.616666666666667,4009.342,False,sl,X1a_breakeven
cmpr2X1a_swing_2026-07-20__M15sig,2026-07-20,M15sig,2026-07-21 11:25:00,BUY,4059.611,4052.549,2026-07-21 12:35:37,4057.261,sl 4057.347,-16.45,4933.1,0.07,1,0.0,49.433999999999294,-0.332766921551973,70.61666666666666,4057.347,True,sl,X1a_breakeven
cmpr2X1a_swing_2026-07-20__M15sig,2026-07-20,M15sig,2026-07-23 02:00:00,BUY,4118.111,4111.151,2026-07-23 04:52:59,4120.458,sl 4120.468,16.43,4949.53,0.07,1,0.0,48.72000000000026,0.337233169129719,172.98333333333332,4120.468,True,sl,X1a_breakeven
