run_id,week,signal_tf,entry_time,dir,entry_price,initial_sl,exit_time,exit_price,exit_comment,pnl,balance_after,volume,n_exits,swap_comm,risk_dollars,r_multiple,hold_minutes,final_sl_price,sl_moved,exit_kind,mode
cmpr3valX1c_swing_2026-03-09__M15sig,2026-03-09,M15sig,2026-03-12 12:05:00,BUY,5174.742,5171.179,2026-03-12 12:06:05,5171.169,sl 5171.179,-50.02,5127.08,0.14,1,0.0,49.88200000000143,-1.002766529008431,1.0833333333333333,5171.179,False,sl,val_X1c_trail_m30
cmpr3valX1c_swing_2026-03-09__M15sig,2026-03-09,M15sig,2026-03-13 12:10:00,SELL,5109.95,5122.966,2026-03-13 15:09:56,5064.307,sl 5064.305,136.93,5264.01,0.03,1,0.0,39.04800000000159,3.5067096906370216,179.93333333333334,5064.305,True,sl,val_X1c_trail_m30
cmpr3valX1c_swing_2026-03-16__M15sig,2026-03-16,M15sig,2026-03-16 00:35:00,SELL,5030.533,5037.697,2026-03-16 01:12:14,5009.818,sl 5009.588,124.57,5124.57,0.06,2,0.0,42.98399999999856,2.8980550902662423,37.23333333333333,5009.588,True,sl,val_X1c_trail_m30
cmpr3valX1c_swing_2026-03-16__M15sig,2026-03-16,M15sig,2026-03-16 06:35:00,SELL,5025.039,5041.671,2026-03-16 10:48:40,4992.033,sl 4992.033,99.02,5223.59,0.03,1,0.0,49.89600000000155,1.9845278178610892,253.66666666666663,4992.033,True,sl,val_X1c_trail_m30
cmpr3valX1c_swing_2026-03-16__M15sig,2026-03-16,M15sig,2026-03-17 13:45:00,SELL,5027.108,5035.128,2026-03-17 15:41:46,4975.242,,286.63,5510.22,0.06,3,0.0,48.11999999999716,5.956566916043577,116.76666666666668,,False,other,val_X1c_trail_m30
cmpr3valX1c_swing_2026-03-16__M15sig,2026-03-16,M15sig,2026-03-18 00:20:00,SELL,5005.934,5014.48,2026-03-18 01:05:12,5009.567,sl 5009.535,-21.8,5488.42,0.06,1,0.0,51.2759999999962,-0.4251501677198224,45.2,5009.535,True,sl,val_X1c_trail_m30
cmpr3valX1c_swing_2026-03-16__M15sig,2026-03-16,M15sig,2026-03-19 19:25:00,SELL,4644.067,4677.953,2026-03-20 01:05:02,4671.109,sl 4670.888,-27.04,5461.38,0.01,1,0.0,33.88600000000042,-0.7979696629876546,340.03333333333336,4670.888,True,sl,val_X1c_trail_m30
cmpr3valX1c_swing_2026-03-23__M15sig,2026-03-23,M15sig,2026-03-24 06:45:00,SELL,4377.649,4409.605,2026-03-24 07:00:21,4409.633,sl 4409.605,-31.98,4968.02,0.01,1,0.0,31.95599999999922,-1.0007510326699456,15.35,4409.605,False,sl,val_X1c_trail_m30
cmpr3valX1c_swing_2026-03-23__M15sig,2026-03-23,M15sig,2026-03-25 09:50:00,BUY,4538.366,4522.32,2026-03-25 12:23:07,4556.82,sl 4556.863,55.36,5023.38,0.03,1,0.0,48.13800000000083,1.150027005691949,153.11666666666667,4556.863,True,sl,val_X1c_trail_m30
cmpr3valX1c_swing_2026-03-23__M15sig,2026-03-23,M15sig,2026-03-26 13:50:00,SELL,4452.387,4468.126,2026-03-26 14:22:55,4468.203,sl 4468.126,-47.45,4975.93,0.03,1,0.0,47.21700000000146,-1.0049346633627407,32.916666666666664,4468.126,False,sl,val_X1c_trail_m30
cmpr3valX1c_swing_2026-03-23__M15sig,2026-03-23,M15sig,2026-03-27 10:55:00,BUY,4417.94,4405.855,2026-03-27 11:07:56,4405.804,sl 4405.855,-48.54,4927.39,0.04,1,0.0,48.34000000000015,-1.0041373603640846,12.933333333333334,4405.855,False,sl,val_X1c_trail_m30
